,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,39.43,85,48,4.74,AR,1603927261
1,Punta Arenas,-53.15,-70.92,48.0,66,89,25.99,CL,1603927812
2,East London,-33.02,27.91,67.84,84,97,1.7,ZA,1603927813
3,Doctor Arroyo,23.67,-100.18,73.65,23,0,5.44,MX,1603927813
4,Berbera,10.44,45.01,80.15,64,9,5.97,SO,1603927813
5,New Norfolk,-42.78,147.06,64.0,56,5,1.99,AU,1603927813
6,Atuona,-9.8,-139.03,77.72,75,52,12.64,PF,1603927813
7,Tazovsky,67.47,78.7,-3.35,87,0,5.97,RU,1603927813
8,Henties Bay,-22.12,14.28,57.99,89,32,3.0,NA,1603927814
9,Fairbanks,64.84,-147.72,19.99,86,61,2.55,US,1603927800
10,Ouidah,6.36,2.09,79.12,85,34,11.12,BJ,1603927815
11,Busselton,-33.65,115.33,64.99,45,0,11.99,AU,1603927815
12,Arraial do Cabo,-22.97,-42.03,75.16,93,0,13.15,BR,1603927815
13,Abu Samrah,35.3,37.18,64.58,62,81,4.18,SY,1603927815
14,Lac du Bonnet,50.25,-96.06,27.0,98,42,3.0,CA,1603927816
15,Pangnirtung,66.15,-65.71,8.94,79,30,4.65,CA,1603927816
16,Camopi,3.17,-52.32,79.83,74,60,5.61,GF,1603927817
17,Hermanus,-34.42,19.23,63.0,64,87,3.0,ZA,1603927817
18,Albany,42.6,-73.97,48.0,89,49,4.23,US,1603927808
19,Pemangkat,1.17,108.97,79.7,84,39,5.5,ID,1603927817
20,Provideniya,64.38,-173.3,26.8,89,74,2.1,RU,1603927818
21,Manokwari,-0.87,134.08,84.29,64,100,2.66,ID,1603927818
22,Mataura,-46.19,168.86,57.0,77,96,5.99,NZ,1603927818
23,Forsytheganj,52.63,29.73,43.99,82,27,6.26,BY,1603927819
24,Isangel,-19.55,169.27,78.85,62,15,16.37,VU,1603927819
25,Yellowknife,62.46,-114.35,23.0,96,96,4.45,CA,1603927531
26,Barrow,71.29,-156.79,24.8,58,90,6.93,US,1603927802
27,Rawson,-43.3,-65.1,49.51,54,18,8.01,AR,1603927820
28,Kanniyākumāri,8.08,77.57,79.3,77,61,4.9,IN,1603927820
29,Bartica,6.4,-58.62,75.92,94,48,3.69,GY,1603927820
30,Ola,59.58,151.28,30.61,86,85,5.7,RU,1603927820
31,Lebu,-37.62,-73.65,49.77,72,16,19.77,CL,1603927821
32,Tiksi,71.69,128.87,-0.04,89,99,15.52,RU,1603927821
33,Laas,46.62,10.7,43.0,100,76,1.88,IT,1603927821
34,Aswān,24.09,32.91,78.35,21,0,8.72,EG,1603927821
35,Yerbogachën,61.28,108.01,17.55,86,100,15.3,RU,1603927821
36,Jamestown,42.1,-79.24,45.0,86,62,5.5,US,1603927821
37,San Mateo Ixtatán,15.83,-91.48,54.37,100,87,0.69,GT,1603927822
38,Myaundzha,63.05,147.19,6.94,84,25,1.05,RU,1603927822
39,Butaritari,3.07,172.79,81.32,71,100,3.53,KI,1603927822
40,Fukuechō,32.69,128.84,68.67,57,60,9.55,JP,1603927822
41,Saldanha,-33.01,17.94,59.0,87,100,10.29,ZA,1603927822
42,Qaqortoq,60.72,-46.03,31.64,93,100,5.19,GL,1603927823
43,Borogontsy,62.67,131.17,2.16,92,100,5.08,RU,1603927823
44,Qaanaaq,77.48,-69.36,7.52,73,9,11.21,GL,1603927823
45,Lázaro Cárdenas,17.96,-102.2,81.73,81,18,5.91,MX,1603927823
46,Cape Town,-33.93,18.42,60.01,82,75,19.46,ZA,1603927824
47,São Filipe,14.9,-24.5,80.26,75,26,2.39,CV,1603927824
48,Broome,42.25,-75.83,46.0,97,56,1.01,US,1603927824
49,Serramanna,39.42,8.92,59.0,74,44,1.01,IT,1603927824
50,Meulaboh,4.14,96.13,76.12,83,100,4.16,ID,1603927825
51,Camacupa,-12.02,17.48,63.91,93,100,5.55,AO,1603927825
52,Trincomalee,8.57,81.23,78.3,82,44,9.84,LK,1603927825
53,Isla Vista,34.41,-119.86,71.01,55,0,3.0,US,1603927825
54,Morondava,-20.28,44.28,77.63,78,0,1.9,MG,1603927826
55,Port Elizabeth,-33.92,25.57,64.4,88,90,11.41,ZA,1603927826
56,Upata,8.01,-62.4,87.01,64,56,4.94,VE,1603927827
57,Hithadhoo,-0.6,73.08,83.1,74,3,11.88,MV,1603927827
58,Bluff,-46.6,168.33,55.99,76,100,7.0,NZ,1603927762
59,Puerto Ayora,-0.74,-90.35,69.01,92,97,1.99,EC,1603927536
60,Rocha,-34.48,-54.33,56.08,74,88,13.44,UY,1603927828
61,Hilo,19.73,-155.09,82.99,82,47,1.99,US,1603927828
62,Puerto Cabezas,14.04,-83.39,79.57,87,97,6.64,NI,1603927809
63,Neyshabur,36.21,58.8,42.22,61,0,1.7,IR,1603927828
64,Upernavik,72.79,-56.15,12.15,83,18,11.03,GL,1603927829
65,Tanout,14.97,8.89,79.32,17,0,9.98,NE,1603927829
66,Rikitea,-23.12,-134.97,74.93,82,71,12.3,PF,1603927376
67,Benjamín Aceval,-24.97,-57.57,77.85,41,35,5.55,PY,1603927830
68,Makakilo City,21.35,-158.09,84.0,62,8,11.99,US,1603927830
69,Tasiilaq,65.61,-37.64,26.26,86,100,10.74,GL,1603927830
